Index,Year,Month,Raw Material,Feedstock Type,Avg Sugar/Starch Content (%),Ethanol Yield (L/ton),Production Volume (tons),Ethanol Produced (L),Cost per Ton (USD),Total Cost (USD),Water Used (m3),CO2 Emitted (tons)
69,2020,3,Bagasse,Cellulose-based,20,210,716.49,150462.9,116.97,83807.84,3216.89,321.29
70,2020,2,Bagasse,Cellulose-based,20,210,950.78,199663.8,102.87,97806.74,4253.24,312.94
71,2021,12,Molasses,Sugar-based,48,250,425.89,106472.5,49.36,21021.93,1334.96,229.61
72,2020,6,Wheat,Starch-based,55,370,695.57,257360.9,87.24,60681.53,2152.14,440.29
73,2023,4,Bagasse,Cellulose-based,20,210,841.3,176673.0,42.61,35847.79,3660.86,349.32
74,2024,6,Rice Straw,Cellulose-based,18,190,930.56,176806.4,71.08,66144.2,4213.92,273.32
75,2024,1,Rice Straw,Cellulose-based,18,190,625.94,118928.6,93.35,58431.5,2445.94,289.4
76,2021,9,Rice Straw,Cellulose-based,18,190,156.78,29788.2,99.57,15610.58,654.78,63.77
77,2021,7,Bagasse,Cellulose-based,20,210,896.24,188210.4,57.82,51820.6,3274.38,301.79
78,2020,9,Bagasse,Cellulose-based,20,210,109.71,23039.1,116.97,12832.78,386.84,54.89
79,2022,11,Molasses,Sugar-based,48,250,453.2,113300.0,72.5,32857.0,1570.06,267.93
80,2021,6,Rice Straw,Cellulose-based,18,190,538.71,102354.9,94.13,50708.77,2029.76,220.6
81,2022,9,Sugarcane,Sugar-based,14,70,392.14,27449.8,93.88,36814.1,1479.81,43.47
82,2023,2,Rice Straw,Cellulose-based,18,190,703.19,133606.1,91.94,64651.29,2790.99,224.84
83,2020,2,Molasses,Sugar-based,48,250,426.97,106742.5,77.75,33196.92,1370.82,251.05
84,2022,9,Wheat,Starch-based,55,370,511.08,189099.6,105.71,54026.27,2138.95,332.49
85,2020,9,Bagasse,Cellulose-based,20,210,609.24,127940.4,77.2,47033.33,2434.82,256.44
86,2023,2,Wheat,Starch-based,55,370,902.28,333843.6,70.58,63682.92,2928.43,572.53
87,2021,11,Rice Straw,Cellulose-based,18,190,221.06,42001.4,68.22,15080.71,773.82,103.89
88,2024,6,Bagasse,Cellulose-based,20,210,628.45,131974.5,116.98,73516.08,2702.55,257.18
89,2020,3,Bagasse,Cellulose-based,20,210,559.08,117406.8,76.93,43010.02,2035.31,210.93
90,2022,12,Rice Straw,Cellulose-based,18,190,770.83,146457.7,61.87,47691.25,3531.34,270.13
91,2023,9,Sugarcane,Sugar-based,14,70,766.66,53666.2,117.71,90243.55,2706.96,122.17
92,2024,6,Sugarcane,Sugar-based,14,70,294.91,20643.7,94.18,27774.62,948.49,41.8
93,2021,2,Wheat,Starch-based,55,370,605.8,224146.0,102.18,61900.64,1852.96,407.26
94,2022,3,Sugarcane,Sugar-based,14,70,993.5,69545.0,98.68,98038.58,4261.43,138.56
95,2022,3,Bagasse,Cellulose-based,20,210,420.75,88357.5,69.5,29242.12,1872.01,144.83
96,2020,2,Molasses,Sugar-based,48,250,441.35,110337.5,46.02,20310.93,2087.43,257.92
97,2020,6,Rice Straw,Cellulose-based,18,190,668.76,127064.4,82.04,54865.07,2378.58,235.56
98,2023,9,Molasses,Sugar-based,48,250,725.75,181437.5,116.4,84477.3,2222.33,282.79
99,2024,9,Sugarcane,Sugar-based,14,70,669.04,46832.8,98.83,66121.22,2203.72,93.3
100,2024,10,Sugarcane,Sugar-based,14,70,391.22,27385.4,113.3,44325.23,1476.0,67.65
101,2021,7,Sugarcane,Sugar-based,14,70,893.08,62515.6,40.56,36223.32,4154.32,147.33
102,2024,6,Molasses,Sugar-based,48,250,296.84,74210.0,103.85,30826.83,1138.66,142.28
103,2023,9,Bagasse,Cellulose-based,20,210,357.05,74980.5,106.48,38018.68,1259.89,182.23
104,2023,10,Corn,Starch-based,60,400,492.88,197152.0,67.13,33087.03,2170.76,385.47
105,2022,12,Molasses,Sugar-based,48,250,609.55,152387.5,54.5,33220.47,2495.61,342.12
106,2023,9,Bagasse,Cellulose-based,20,210,919.58,193111.8,48.94,45004.25,4579.35,377.77
107,2021,2,Sugarcane,Sugar-based,14,70,385.82,27007.4,93.84,36205.35,1204.33,44.94
108,2022,10,Sugarcane,Sugar-based,14,70,496.72,34770.4,82.29,40875.09,1804.45,70.79
109,2020,5,Molasses,Sugar-based,48,250,300.49,75122.5,76.03,22846.25,1408.26,161.1
110,2020,3,Sugarcane,Sugar-based,14,70,337.49,23624.3,103.4,34896.47,1495.39,50.95
111,2023,11,Sugarcane,Sugar-based,14,70,736.02,51521.4,63.19,46509.1,2226.19,87.35
112,2023,11,Wheat,Starch-based,55,370,497.75,184167.5,111.63,55563.83,1895.95,380.36
113,2022,6,Corn,Starch-based,60,400,364.55,145820.0,106.46,38809.99,1500.77,312.87
114,2024,2,Wheat,Starch-based,55,370,164.76,60961.2,105.5,17382.18,661.6,144.75
115,2021,6,Rice Straw,Cellulose-based,18,190,838.49,159313.1,42.62,35736.44,2578.58,340.37
116,2021,1,Wheat,Starch-based,55,370,375.32,138868.4,78.81,29578.97,1346.0,277.17
117,2020,11,Corn,Starch-based,60,400,438.42,175368.0,78.72,34512.42,1766.58,396.74
118,2021,3,Sugarcane,Sugar-based,14,70,519.05,36333.5,89.99,46709.31,1840.27,75.76
119,2023,4,Molasses,Sugar-based,48,250,878.67,219667.5,88.58,77832.59,3128.25,450.91
120,2022,11,Molasses,Sugar-based,48,250,956.58,239145.0,104.83,100278.28,3242.45,462.71
121,2022,8,Sugarcane,Sugar-based,14,70,187.37,13115.9,82.91,15534.85,827.34,23.68
122,2021,10,Rice Straw,Cellulose-based,18,190,520.39,98874.1,94.79,49327.77,2492.16,224.94
123,2020,12,Corn,Starch-based,60,400,543.88,217552.0,113.18,61556.34,1976.03,366.6
124,2020,9,Corn,Starch-based,60,400,628.35,251340.0,71.63,45008.71,2272.7,378.87
125,2021,7,Wheat,Starch-based,55,370,768.85,284474.5,71.34,54849.76,3776.44,520.01
126,2024,5,Molasses,Sugar-based,48,250,231.46,57865.0,76.92,17803.9,1156.14,124.82
127,2023,11,Rice Straw,Cellulose-based,18,190,192.21,36519.9,93.83,18035.06,840.54,82.01
128,2020,9,Bagasse,Cellulose-based,20,210,465.23,97698.3,79.61,37036.96,1985.47,182.26
129,2022,12,Bagasse,Cellulose-based,20,210,499.34,104861.4,67.61,33760.38,1958.41,183.29
130,2024,4,Sugarcane,Sugar-based,14,70,740.61,51842.7,98.61,73031.55,2962.59,107.02
131,2021,4,Molasses,Sugar-based,48,250,713.29,178322.5,104.87,74802.72,2824.06,291.04
132,2021,10,Sugarcane,Sugar-based,14,70,569.53,39867.1,77.36,44058.84,1981.3,79.89
133,2022,6,Corn,Starch-based,60,400,533.86,213544.0,64.8,34594.13,1788.46,375.3
134,2024,7,Rice Straw,Cellulose-based,18,190,463.98,88156.2,43.63,20243.45,1453.46,213.82
135,2021,10,Molasses,Sugar-based,48,250,259.78,64945.0,49.89,12960.42,933.61,160.02
136,2023,5,Molasses,Sugar-based,48,250,337.6,84400.0,61.88,20890.69,1247.16,182.55
137,2021,11,Wheat,Starch-based,55,370,656.97,243078.9,75.91,49870.59,3251.98,407.18
138,2022,3,Sugarcane,Sugar-based,14,70,180.49,12634.3,89.88,16222.44,874.57,26.98
139,2022,2,Wheat,Starch-based,55,370,603.39,223254.3,48.59,29318.72,1933.63,431.56
140,2021,11,Sugarcane,Sugar-based,14,70,575.27,40268.9,81.02,46608.38,2227.81,78.48
141,2024,8,Bagasse,Cellulose-based,20,210,184.25,38692.5,87.02,16033.43,733.18,76.01
142,2020,6,Molasses,Sugar-based,48,250,321.95,80487.5,97.14,31274.22,1308.07,168.24
143,2020,11,Sugarcane,Sugar-based,14,70,247.45,17321.5,72.23,17873.31,1043.65,39.64
144,2024,4,Sugarcane,Sugar-based,14,70,771.9,54033.0,62.57,48297.78,3083.25,112.69
145,2023,12,Corn,Starch-based,60,400,802.17,320868.0,99.19,79567.24,2996.47,797.81
146,2022,9,Rice Straw,Cellulose-based,18,190,398.99,75808.1,119.47,47667.34,1538.47,180.39
147,2022,1,Molasses,Sugar-based,48,250,486.76,121690.0,53.28,25934.57,1869.76,279.46
148,2022,9,Rice Straw,Cellulose-based,18,190,208.26,39569.4,47.62,9917.34,871.25,69.95
149,2020,7,Bagasse,Cellulose-based,20,210,460.41,96686.1,97.36,44825.52,1744.67,178.51
150,2024,12,Wheat,Starch-based,55,370,806.86,298538.2,91.02,73440.4,2552.85,683.84
151,2023,9,Sugarcane,Sugar-based,14,70,457.47,32022.9,104.25,47691.25,1925.46,58.98
152,2021,11,Bagasse,Cellulose-based,20,210,305.69,64194.9,116.12,35496.72,1506.84,142.91
153,2023,11,Sugarcane,Sugar-based,14,70,609.41,42658.7,107.93,65773.62,2852.86,84.85
154,2023,6,Rice Straw,Cellulose-based,18,190,200.57,38108.3,43.03,8630.53,880.57,68.13
155,2024,3,Bagasse,Cellulose-based,20,210,820.72,172351.2,114.33,93832.92,3187.57,283.8
156,2020,7,Corn,Starch-based,60,400,828.6,331440.0,50.76,42059.74,2983.21,783.45
157,2020,1,Bagasse,Cellulose-based,20,210,994.59,208863.9,94.86,94346.81,4958.25,382.72
158,2022,2,Sugarcane,Sugar-based,14,70,418.2,29274.0,106.93,44718.13,1974.05,59.14
159,2024,1,Rice Straw,Cellulose-based,18,190,335.46,63737.4,76.31,25598.95,1011.93,151.29
160,2021,10,Rice Straw,Cellulose-based,18,190,863.03,163975.7,83.76,72287.39,3335.76,357.41
161,2020,4,Bagasse,Cellulose-based,20,210,573.38,120409.8,45.09,25853.7,2172.13,297.47
162,2020,10,Sugarcane,Sugar-based,14,70,499.85,34989.5,91.85,45911.22,1877.58,67.51
163,2020,12,Rice Straw,Cellulose-based,18,190,955.3,181507.0,68.93,65848.83,3346.35,287.71
164,2021,5,Corn,Starch-based,60,400,215.47,86188.0,42.45,9146.7,736.75,192.21
165,2024,4,Molasses,Sugar-based,48,250,764.74,191185.0,90.9,69514.87,3043.61,437.58
166,2020,12,Sugarcane,Sugar-based,14,70,698.49,48894.3,111.22,77686.06,2989.61,94.93
167,2020,8,Rice Straw,Cellulose-based,18,190,360.04,68407.6,87.56,31525.1,1100.34,168.35
168,2021,2,Corn,Starch-based,60,400,670.52,268208.0,104.71,70210.15,2126.91,574.41
169,2022,9,Bagasse,Cellulose-based,20,210,133.07,27944.7,65.57,8725.4,609.12,48.29
170,2024,6,Molasses,Sugar-based,48,250,640.89,160222.5,116.28,74522.69,2030.94,301.03
171,2023,6,Wheat,Starch-based,55,370,906.89,335549.3,99.09,89863.73,3388.4,665.35
172,2023,5,Wheat,Starch-based,55,370,218.06,80682.2,52.7,11491.76,1050.39,162.97
173,2022,3,Rice Straw,Cellulose-based,18,190,373.21,70909.9,41.9,15637.5,1690.17,110.83
174,2022,6,Molasses,Sugar-based,48,250,564.41,141102.5,118.5,66882.58,2615.05,273.53
175,2022,7,Sugarcane,Sugar-based,14,70,433.25,30327.5,91.0,39425.75,1521.79,52.1
176,2021,6,Rice Straw,Cellulose-based,18,190,646.08,122755.2,48.04,31037.68,2882.69,187.09
177,2024,11,Wheat,Starch-based,55,370,227.46,84160.2,110.47,25127.51,743.24,174.64
178,2024,8,Molasses,Sugar-based,48,250,911.46,227865.0,117.73,107306.19,3201.05,422.24
179,2023,8,Bagasse,Cellulose-based,20,210,636.36,133635.6,118.4,75345.02,2373.75,323.95
180,2022,8,Molasses,Sugar-based,48,250,318.54,79635.0,86.13,27435.85,1049.09,179.37
181,2021,8,Bagasse,Cellulose-based,20,210,780.24,163850.4,107.9,84187.9,2809.8,269.18
182,2024,2,Bagasse,Cellulose-based,20,210,510.22,107146.2,40.86,20847.59,1682.12,192.38
183,2020,6,Wheat,Starch-based,55,370,852.77,315524.9,79.54,67829.33,3137.1,709.44
184,2021,10,Molasses,Sugar-based,48,250,406.72,101680.0,40.85,16614.51,1856.33,187.68
185,2020,1,Sugarcane,Sugar-based,14,70,990.16,69311.2,68.43,67756.65,3178.17,158.23
186,2023,11,Molasses,Sugar-based,48,250,192.0,48000.0,62.36,11973.12,800.01,90.76
187,2023,4,Wheat,Starch-based,55,370,869.76,321811.2,117.54,102231.59,3965.95,509.9
188,2022,7,Wheat,Starch-based,55,370,695.2,257224.0,79.04,54948.61,2595.46,425.03
189,2021,5,Bagasse,Cellulose-based,20,210,724.25,152092.5,92.55,67029.34,3386.98,287.63
190,2024,10,Corn,Starch-based,60,400,690.73,276292.0,77.88,53794.05,2159.89,643.3
191,2021,10,Molasses,Sugar-based,48,250,573.68,143420.0,99.42,57035.27,2640.66,316.63
192,2021,8,Bagasse,Cellulose-based,20,210,620.06,130212.6,106.66,66135.6,3035.22,270.51
193,2024,1,Sugarcane,Sugar-based,14,70,690.29,48320.3,56.42,38946.16,3108.41,113.65
194,2021,3,Sugarcane,Sugar-based,14,70,924.42,64709.4,110.91,102527.42,4215.93,118.02
195,2024,11,Molasses,Sugar-based,48,250,452.24,113060.0,40.23,18193.62,1779.61,172.61
196,2021,6,Bagasse,Cellulose-based,20,210,880.91,184991.1,118.83,104678.54,4044.51,393.09
197,2021,9,Sugarcane,Sugar-based,14,70,609.92,42694.4,67.9,41413.57,1991.52,85.05
198,2024,11,Corn,Starch-based,60,400,472.04,188816.0,64.44,30418.26,2209.57,310.15
199,2021,12,Rice Straw,Cellulose-based,18,190,665.46,126437.4,98.23,65368.14,2999.42,290.43
200,2024,10,Corn,Starch-based,60,400,605.79,242316.0,56.06,33960.59,2503.03,391.3
201,2023,3,Molasses,Sugar-based,48,250,182.95,45737.5,112.36,20556.26,765.63,101.34
202,2023,10,Rice Straw,Cellulose-based,18,190,482.55,91684.5,89.95,43405.37,2027.52,173.34
203,2023,2,Bagasse,Cellulose-based,20,210,771.86,162090.6,68.16,52609.98,2642.25,330.11
204,2022,4,Wheat,Starch-based,55,370,927.35,343119.5,69.43,64385.91,4311.57,712.08
205,2021,9,Molasses,Sugar-based,48,250,501.13,125282.5,117.26,58762.5,1739.96,278.61
206,2023,9,Bagasse,Cellulose-based,20,210,581.2,122052.0,61.19,35563.63,2066.58,240.0
207,2020,10,Corn,Starch-based,60,400,126.45,50580.0,40.02,5060.53,561.65,115.67
208,2024,2,Wheat,Starch-based,55,370,544.44,201442.8,56.08,30532.2,1894.11,317.64
209,2020,1,Molasses,Sugar-based,48,250,934.4,233600.0,106.22,99251.97,3382.29,501.12
210,2024,11,Bagasse,Cellulose-based,20,210,446.24,93710.4,108.29,48323.33,1548.76,229.81
211,2022,9,Molasses,Sugar-based,48,250,901.0,225250.0,104.25,93929.25,4499.45,532.67
212,2024,1,Corn,Starch-based,60,400,984.69,393876.0,87.98,86633.03,3320.9,671.73
213,2021,11,Molasses,Sugar-based,48,250,595.01,148752.5,54.13,32207.89,1938.46,226.86
214,2024,6,Corn,Starch-based,60,400,549.27,219708.0,116.64,64066.85,1727.82,528.01
215,2020,5,Bagasse,Cellulose-based,20,210,805.9,169239.0,117.62,94789.96,3790.76,355.19
216,2024,2,Rice Straw,Cellulose-based,18,190,280.83,53357.7,47.4,13311.34,925.7,116.17
217,2024,10,Corn,Starch-based,60,400,117.63,47052.0,77.91,9164.55,354.53,117.25
218,2021,12,Corn,Starch-based,60,400,103.56,41424.0,88.97,9213.73,426.09,99.9
219,2020,9,Molasses,Sugar-based,48,250,368.26,92065.0,69.66,25652.99,1166.5,143.08
220,2020,8,Sugarcane,Sugar-based,14,70,790.47,55332.9,104.39,82517.16,3840.07,138.02
221,2023,9,Wheat,Starch-based,55,370,635.56,235157.2,112.12,71258.99,2497.83,384.55
222,2021,8,Bagasse,Cellulose-based,20,210,337.73,70923.3,91.17,30790.84,1237.96,129.22
223,2022,6,Bagasse,Cellulose-based,20,210,368.84,77456.4,91.16,33623.45,1678.46,151.42
224,2023,6,Molasses,Sugar-based,48,250,815.46,203865.0,80.28,65465.13,3425.52,374.04
225,2020,5,Sugarcane,Sugar-based,14,70,348.04,24362.8,115.59,40229.94,1604.86,40.51
226,2022,4,Sugarcane,Sugar-based,14,70,298.68,20907.6,90.55,27045.47,1352.77,45.97
227,2021,11,Wheat,Starch-based,55,370,293.46,108580.2,65.47,19212.83,1178.2,204.43
228,2024,9,Molasses,Sugar-based,48,250,516.62,129155.0,91.96,47508.38,2157.55,312.71
229,2023,2,Sugarcane,Sugar-based,14,70,398.46,27892.2,101.05,40264.38,1892.34,52.89
230,2024,12,Corn,Starch-based,60,400,522.83,209132.0,106.23,55540.23,1953.43,496.8
231,2022,2,Wheat,Starch-based,55,370,625.58,231464.6,49.21,30784.79,2583.03,521.84
232,2023,6,Rice Straw,Cellulose-based,18,190,623.59,118482.1,49.92,31129.61,2885.32,192.53
233,2024,6,Bagasse,Cellulose-based,20,210,993.7,208677.0,62.93,62533.54,4069.29,495.35
234,2022,4,Rice Straw,Cellulose-based,18,190,332.2,63118.0,57.89,19231.06,1439.93,104.34
235,2024,4,Molasses,Sugar-based,48,250,727.75,181937.5,61.2,44538.3,2775.89,335.26
236,2022,10,Molasses,Sugar-based,48,250,412.62,103155.0,52.73,21757.45,1506.02,257.79
237,2023,10,Wheat,Starch-based,55,370,860.32,318318.4,111.36,95805.24,3691.85,744.06
238,2021,5,Corn,Starch-based,60,400,257.26,102904.0,67.2,17287.87,888.23,210.47
239,2024,1,Rice Straw,Cellulose-based,18,190,180.29,34255.1,52.36,9439.98,711.24,78.47
240,2023,1,Sugarcane,Sugar-based,14,70,531.26,37188.2,52.75,28023.97,2455.38,88.09
241,2020,2,Wheat,Starch-based,55,370,307.86,113908.2,45.2,13915.27,1153.27,256.26
242,2020,2,Sugarcane,Sugar-based,14,70,626.7,43869.0,41.52,26020.58,2847.26,68.04
243,2021,6,Sugarcane,Sugar-based,14,70,951.37,66595.9,104.38,99304.0,4537.38,120.43
244,2022,6,Molasses,Sugar-based,48,250,743.29,185822.5,107.36,79799.61,2896.52,317.61
245,2021,11,Rice Straw,Cellulose-based,18,190,419.93,79786.7,103.6,43504.75,2008.21,145.42
246,2021,1,Wheat,Starch-based,55,370,216.08,79949.6,52.28,11296.66,843.45,180.39
247,2020,3,Rice Straw,Cellulose-based,18,190,928.48,176411.2,57.86,53721.85,3155.74,311.86
248,2020,9,Corn,Starch-based,60,400,236.4,94560.0,87.82,20760.65,921.73,225.19
249,2023,4,Rice Straw,Cellulose-based,18,190,343.24,65215.6,50.09,17192.89,1326.07,154.23
250,2021,2,Rice Straw,Cellulose-based,18,190,916.63,174159.7,95.66,87684.83,2815.96,314.58
251,2023,9,Bagasse,Cellulose-based,20,210,314.54,66053.4,61.92,19476.32,1137.72,122.64
252,2020,5,Molasses,Sugar-based,48,250,843.35,210837.5,85.67,72249.79,3433.34,431.69
253,2021,8,Rice Straw,Cellulose-based,18,190,857.03,162835.7,89.86,77012.72,2761.81,342.6
254,2024,8,Rice Straw,Cellulose-based,18,190,365.73,69488.7,94.73,34645.6,1475.32,164.88
255,2024,1,Sugarcane,Sugar-based,14,70,954.76,66833.2,117.92,112585.3,3733.02,106.01
256,2023,1,Rice Straw,Cellulose-based,18,190,364.68,69289.2,76.02,27722.97,1201.36,120.57
257,2020,9,Molasses,Sugar-based,48,250,135.68,33920.0,83.56,11337.42,670.53,68.02
258,2024,9,Molasses,Sugar-based,48,250,858.86,214715.0,108.78,93426.79,4035.01,412.73
259,2021,12,Wheat,Starch-based,55,370,898.38,332400.6,65.1,58484.54,2889.03,557.92
260,2022,4,Sugarcane,Sugar-based,14,70,308.9,21623.0,90.29,27890.58,1120.3,36.97
261,2022,7,Rice Straw,Cellulose-based,18,190,975.6,185364.0,82.85,80828.46,3326.62,412.16
262,2023,2,Sugarcane,Sugar-based,14,70,138.34,9683.8,49.14,6798.03,461.42,15.65
263,2020,6,Wheat,Starch-based,55,370,124.4,46028.0,107.71,13399.12,456.6,110.01
264,2020,3,Wheat,Starch-based,55,370,325.74,120523.8,43.78,14260.9,1156.63,190.22
265,2022,11,Sugarcane,Sugar-based,14,70,116.78,8174.6,63.57,7423.7,532.13,13.25
266,2022,2,Rice Straw,Cellulose-based,18,190,668.84,127079.6,93.03,62222.19,2911.01,256.67
267,2020,9,Molasses,Sugar-based,48,250,908.07,227017.5,44.56,40463.6,4443.6,429.43
268,2024,12,Corn,Starch-based,60,400,890.61,356244.0,96.5,85943.87,4385.72,676.07
269,2022,7,Rice Straw,Cellulose-based,18,190,561.67,106717.3,54.51,30616.63,2511.92,181.91
270,2022,4,Bagasse,Cellulose-based,20,210,478.0,100380.0,92.98,44444.44,2087.52,223.66
271,2021,5,Bagasse,Cellulose-based,20,210,472.95,99319.5,40.36,19088.26,1908.01,218.14
